tax_id	species	genus	family	order	class	phylum	superkingdom
11780		Candidatus Stoquefichus	Erysipelatoclostridiaceae	Erysipelotrichales	Bacilli	Firmicutes	Bacteria
12060		[Anaerorhabdus] furcosa group	Erysipelotrichaceae	Erysipelotrichales	Bacilli	Firmicutes	Bacteria
1209		Atopobium	Atopobiaceae	Coriobacteriales	Coriobacteriia	Actinobacteriota	Bacteria
12148		Family XIII UCG-001	Anaerovoracaceae	Peptostreptococcales-Tissierellales	Clostridia	Firmicutes	Bacteria
12481	intestinalis;	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria
12601		Peptococcus	Peptococcaceae	Peptococcales	Clostridia	Firmicutes	Bacteria
12609	globosum;	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinobacteria	Actinobacteriota	Bacteria
12698		Dielma	Erysipelotrichaceae	Erysipelotrichales	Bacilli	Firmicutes	Bacteria
12745	pullorum;	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinobacteria	Actinobacteriota	Bacteria
1281		Latilactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
12812		Prevotellaceae Ga6A1 group	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria
12929		Lachnospiraceae NK4B4 group	Lachnospiraceae	Lachnospirales	Clostridia	Firmicutes	Bacteria
12972	massiliensis;	Candidatus Stoquefichus	Erysipelatoclostridiaceae	Erysipelotrichales	Bacilli	Firmicutes	Bacteria
12983			UCG-011	Oscillospirales	Clostridia	Firmicutes	Bacteria
13		Enterobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
13091	goldsteinii;	Parabacteroides	Tannerellaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria
13432	johnsonii;	Parabacteroides	Tannerellaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria
1348		NK4A214 group	Oscillospiraceae	Oscillospirales	Clostridia	Firmicutes	Bacteria
13498	rodentium;	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
1360				Clostridia UCG-014	Clostridia	Firmicutes	Bacteria
1364		Ruminiclostridium	Hungateiclostridiaceae	Oscillospirales	Clostridia	Firmicutes	Bacteria
13786		A2	Lachnospiraceae	Lachnospirales	Clostridia	Firmicutes	Bacteria
1385		Christensenellaceae R-7 group	Christensenellaceae	Christensenellales	Clostridia	Firmicutes	Bacteria
14013			p-251-o5	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria
14061	bacterium;	Lachnospiraceae NK4A136 group	Lachnospiraceae	Lachnospirales	Clostridia	Firmicutes	Bacteria
14094		CHKCI001	Lachnospiraceae	Lachnospirales	Clostridia	Firmicutes	Bacteria
1416		Acetitomaculum	Lachnospiraceae	Lachnospirales	Clostridia	Firmicutes	Bacteria
143		Treponema	Spirochaetaceae	Spirochaetales	Spirochaetia	Spirochaetota	Bacteria
14393		Lachnospiraceae UCG-006	Lachnospiraceae	Lachnospirales	Clostridia	Firmicutes	Bacteria
14444	pseudolongum;	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinobacteria	Actinobacteriota	Bacteria
1445	psittaci;	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
1451		Helicobacter	Helicobacteraceae	Campylobacterales	Campylobacteria	Campylobacterota	Bacteria
146		Leucobacter	Microbacteriaceae	Micrococcales	Actinobacteria	Actinobacteriota	Bacteria
14683	minuta;	Christensenella	Christensenellaceae	Christensenellales	Clostridia	Firmicutes	Bacteria
14724	platycodi;	Asaia	Acetobacteraceae	Acetobacterales	Alphaproteobacteria	Proteobacteria	Bacteria
14835	fluxus;	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria
14882	rodentium;	Faecalibaculum	Erysipelotrichaceae	Erysipelotrichales	Bacilli	Firmicutes	Bacteria
1502		Desulfovibrio	Desulfovibrionaceae	Desulfovibrionales	Desulfovibrionia	Desulfobacterota	Bacteria
15054	clarus;	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria
15159		GCA-900066575	Lachnospiraceae	Lachnospirales	Clostridia	Firmicutes	Bacteria
1532	hirae;	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
15321		Lachnospiraceae UCG-010	Lachnospiraceae	Lachnospirales	Clostridia	Firmicutes	Bacteria
15332		Allobaculum	Erysipelotrichaceae	Erysipelotrichales	Bacilli	Firmicutes	Bacteria
15381		Acetatifactor	Lachnospiraceae	Lachnospirales	Clostridia	Firmicutes	Bacteria
15397		Faecalibaculum	Erysipelotrichaceae	Erysipelotrichales	Bacilli	Firmicutes	Bacteria
15416		Intestinimonas	Oscillospiraceae	Oscillospirales	Clostridia	Firmicutes	Bacteria
15445	stercorirosoris;	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria
15480	xinjiangensis;	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
15486		ASF356	Lachnospiraceae	Lachnospirales	Clostridia	Firmicutes	Bacteria
15759		Paraprevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria
1584		Cutibacterium	Propionibacteriaceae	Propionibacteriales	Actinobacteria	Actinobacteriota	Bacteria
15859		Harryflintia	Ruminococcaceae	Oscillospirales	Clostridia	Firmicutes	Bacteria
15924	planocerae;	Deinococcus	Deinococcaceae	Deinococcales	Deinococci	Deinococcota	Bacteria
16015		Aeriscardovia	Bifidobacteriaceae	Bifidobacteriales	Actinobacteria	Actinobacteriota	Bacteria
16058		Adlercreutzia	Eggerthellaceae	Coriobacteriales	Coriobacteriia	Actinobacteriota	Bacteria
16087	caecigallinarum;	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria
16316		Lawsonella	Corynebacteriaceae	Corynebacteriales	Actinobacteria	Actinobacteriota	Bacteria
